Provinsi/Kabupaten/Kota,Laki-laki (2020),Laki-laki (2021),Laki-laki (2022),Perempuan (2020),Perempuan (2021),Perempuan (2022)
Kota Depok,72.61,72.87,73.08,76.42,76.6,76.91
Kota Cimahi,72.19,72.45,72.66,75.77,75.96,76.26
Kota Tasikmalaya,70.25,70.52,70.73,74.02,74.21,74.51
Kota Banjar,69.04,69.31,69.53,72.89,73.08,73.39
JAWA TENGAH,72.51,72.61,72.71,76.3,76.42,76.53
Cilacap,71.85,72.05,72.25,75.56,75.75,75.94
Banyumas,71.8,71.93,72.06,75.55,75.71,75.86
Purbalingga,71.22,71.3,71.38,74.99,75.09,75.18
Banjarnegara,72.31,72.4,72.49,75.99,76.11,76.22
Kebumen,71.5,71.65,71.8,75.24,75.41,75.57
Purworejo,72.85,73,73.16,76.51,76.69,76.87
Wonosobo,69.89,70.01,70.12,73.7,73.84,73.95
Magelang,71.84,71.99,72.13,75.55,75.73,75.9
Boyolali,74.15,74.24,74.32,77.85,77.96,78.07
Klaten,75.01,75.1,75.18,78.69,78.8,78.91
Sukoharjo,75.9,75.99,76.09,79.61,79.72,79.83
Wonogiri,74.35,74.44,74.53,78.02,78.13,78.26
Karanganyar,75.72,75.81,75.89,79.32,79.43,79.54
Sragen,73.91,74,74.1,77.54,77.64,77.73
Grobogan,72.9,73,73.1,76.54,76.66,76.77
Blora,72.54,72.66,72.78,76.21,76.35,76.48
Rembang,72.67,72.73,72.79,76.34,76.43,76.51
Pati,74.22,74.28,74.34,78.01,78.1,78.18
Kudus,74.8,74.87,74.94,78.57,78.66,78.75
Jepara,74.04,74.11,74.18,77.81,77.89,77.96
Demak,73.59,73.64,73.69,77.29,77.37,77.45
Semarang,73.93,74,74.08,77.61,77.69,77.77
Temanggung,73.75,73.81,73.87,77.49,77.57,77.64
Kendal,72.58,72.64,72.7,76.26,76.34,76.41
Batang,72.84,72.89,72.93,76.58,76.65,76.7
Pekalongan,71.79,71.84,71.89,75.52,75.6,75.67
Pemalang,71.5,71.65,71.79,75.24,75.46,75.66
Tegal,69.68,69.83,69.98,73.47,73.61,73.74
Brebes,67.4,67.64,67.83,71.23,71.44,71.65
Kota Magelang,75.04,75.11,75.19,78.74,78.82,78.92
Kota Surakarta,75.45,75.57,75.66,79.12,79.23,79.35
Kota Salatiga,75.45,75.5,75.66,79.29,79.44,79.63
Kota Semarang,75.59,75.79,75.94,79.26,79.43,79.61
Kota Pekalongan,72.5,72.54,72.59,76.18,76.26,76.34
Kota Tegal,72.61,72.66,72.72,76.38,76.46,76.56
DI YOGYAKARTA,73.22,73.27,73.28,76.83,76.89,76.93
Kulon Progo,73.38,73.39,73.4,77.15,77.18,77.2
Bantul,71.96,71.97,71.98,75.68,75.71,75.73
Gunung Kidul,72.21,72.26,72.27,75.93,76.02,76.1
Sleman,72.94,73.08,73.1,76.68,76.73,76.77
Kota Yogyakarta,72.78,72.92,72.95,76.37,76.4,76.42
JAWA TIMUR,69.42,69.51,69.81,73.27,73.35,73.71
Pacitan,69.96,70.11,70.47,73.82,73.95,74.37
Ponorogo,70.8,70.9,71.2,74.62,74.69,75.05
Trenggalek,71.81,71.95,72.31,75.56,75.65,76.05
Tulungagung,72.16,72.27,72.61,75.88,75.96,76.34
Blitar,71.58,71.69,72.01,75.35,75.43,75.79
Kediri,70.64,70.69,70.93,74.46,74.48,74.79
Malang,70.58,70.64,70.92,74.41,74.46,74.8
Lumajang,68.06,68.19,68.54,72.02,72.15,72.56
Jember,67.11,67.24,67.58,71.08,71.21,71.62
Banyuwangi,68.61,68.67,68.94,72.58,72.67,73.04
Bondowoso,64.71,64.85,65.18,68.65,68.81,69.22
Situbondo,67.09,67.22,67.55,71.04,71.15,71.53
Probolinggo,65.17,65.34,65.7,69.12,69.31,69.76
Pasuruan,68.19,68.21,68.49,72.15,72.18,72.49
Sidoarjo,72.12,72.15,72.4,75.83,75.83,76.16
Mojokerto,70.57,70.64,70.9,74.38,74.43,74.78
Jombang,70.43,70.53,70.85,74.26,74.34,74.71
Nganjuk,69.54,69.61,69.9,73.43,73.49,73.84
Madiun,69.38,69.52,69.88,73.27,73.39,73.79
Magetan,70.61,70.67,70.95,74.46,74.52,74.86
Ngawi,70.33,70.46,70.82,74.16,74.25,74.65
Bojonegoro,69.57,69.75,70.15,73.44,73.6,74.04
Tuban,69.43,69.58,69.94,73.32,73.45,73.87
Lamongan,70.43,70.53,70.86,74.26,74.34,74.71
Gresik,70.69,70.71,70.95,74.52,74.53,74.86
Bangkalan,68.15,68.19,68.45,72.1,72.14,72.46
Sampang,65.99,66.02,66.26,69.98,70.03,70.35
Pamekasan,65.54,65.62,65.91,69.51,69.63,70.01
Sumenep,69.41,69.58,69.96,73.29,73.43,73.85
Kota Kediri,72.09,72.11,72.35,75.84,75.88,76.18
Kota Blitar,71.82,71.95,72.31,75.56,75.65,76.06
Kota Malang,71.31,71.4,71.72,75.13,75.22,75.61
Kota Probolinggo,68.25,68.3,68.56,72.21,72.27,72.61
Kota Pasuruan,69.52,69.61,69.91,73.4,73.47,73.83
Kota Mojokerto,71.36,71.43,71.72,75.16,75.23,75.58
Kota Madiun,70.85,70.89,71.15,74.67,74.69,75.02
Kota Surabaya,72.26,72.27,72.5,75.97,75.97,76.26
Kota Batu,70.62,70.66,70.95,74.49,74.54,74.86
BANTEN,68.08,68.15,68.46,71.93,71.99,72.36
Pandeglang,62.69,62.82,63.17,66.54,66.68,67.1
Lebak,65.19,65.33,65.69,69.13,69.24,69.66
Tangerang,67.86,67.93,68.25,71.81,71.84,72.19
Serang,62.68,62.82,63.2,66.5,66.61,67.03
Kota Tangerang,69.61,69.61,69.86,73.49,73.49,73.8
Kota Cilegon,64.66,64.68,64.95,68.58,68.61,68.95
Kota Serang,65.87,65.91,66.19,69.94,70.06,70.48
Kota Tangerang Selatan,70.51,70.55,70.85,74.31,74.31,74.62
BALI,70.28,70.39,70.69,74.03,74.17,74.53
Jembrana,70.4,70.5,70.79,74.22,74.3,74.68
Tabanan,71.74,71.84,72.13,75.48,75.53,75.88
Badung,73.26,73.35,73.63,76.77,76.77,77.1
Gianyar,71.78,71.87,72.16,75.5,75.56,75.91
Klungkung,69.27,69.44,69.81,73.14,73.27,73.7
Bangli,68.51,68.61,68.9,72.44,72.53,72.91
Karangasem,68.47,68.57,68.85,72.38,72.43,72.77
Buleleng,69.87,69.99,70.29,73.71,73.8,74.18
Kota Denpasar,72.96,73.08,73.39,76.61,76.68,77.05
NUSA TENGGARA BARAT,64.63,64.81,65.14,68.39,68.66,69.07
Lombok Barat,65.01,65.26,65.64,68.84,69.08,69.78
Lombok Tengah,64.29,64.46,64.75,68.09,68.25,68.77
Lombok Timur,64.06,64.23,64.53,67.85,68.02,68.58
Sumbawa,65.59,65.77,66.08,69.45,69.62,70.2
Dompu,64.89,65.07,65.38,68.71,68.86,69.4
Bima,64.42,64.59,64.9,68.21,68.37,68.92
Sumbawa Barat,66.12,66.34,66.7,69.99,70.21,70.88
Lombok Utara,65.23,65.42,65.74,69.06,69.24,69.82
Kota Mataram,69.86,69.98,70.25,73.64,73.74,74.19
Kota Bima,68.44,68.57,68.84,72.29,72.4,72.88
NUSA TENGGARA TIMUR,65.15,65.28,65.54,68.96,69.11,69.43
Sumba Barat,65.1,65.14,65.28,68.98,69.05,69.29
Sumba Timur,63.18,63.22,63.43,66.98,67.05,67.32
Kupang,62.69,63.01,63.35,66.47,66.68,67.06
Timor Tengah Selatan,64.47,64.51,64.67,68.3,68.39,68.67
Timor Tengah Utara,64.99,65.09,65.27,68.86,68.96,69.26
Belu,62.68,63,63.36,66.45,66.71,67.12
Alor,59.6,59.78,60.08,63.26,63.42,63.78
Lembata,65.08,65.24,65.49,68.96,69.06,69.38
Flores Timur,63.26,63.42,63.72,67.06,67.16,67.48
Sikka,65.25,65.49,65.87,69.14,69.34,69.75
Ende,63.36,63.56,63.89,67.13,67.24,67.57
Ngada,65.98,66.04,66.23,69.96,70.05,70.35
Manggarai,65.04,65.1,65.29,68.91,69,69.29
Rote Ndao,62.66,62.98,63.33,66.43,66.69,67.09
Manggarai Barat,65.34,65.4,65.58,69.29,69.38,69.68
Sumba Tengah,66.39,66.43,66.59,70.3,70.33,70.56
Sumba Barat Daya,66.54,66.58,66.74,70.43,70.5,70.76
Nagekeo,65.13,65.26,65.52,69.03,69.1,69.42
Manggarai Timur,66.06,66.1,66.25,69.96,70.01,70.26
Sabu Raijua,58.78,58.82,58.98,62.41,62.45,62.7
Malaka,63.02,63.04,63.34,66.82,66.88,67.2
Kota Kupang,67.57,67.77,68.1,71.43,71.59,71.98
KALIMANTAN BARAT,68.8,68.87,69.08,72.67,72.74,73
Sambas,66.92,67.07,67.34,70.85,70.88,71.27
Bengkayang,71.92,72.06,72.31,75.57,75.58,75.75
Landak,70.89,71.05,71.32,74.69,74.88,75.22
Mempawah,68.98,69.08,69.29,72.96,73.11,73.42
Sanggau,69.43,69.46,69.6,73.3,73.3,73.46
Ketapang,69.05,69.05,69.17,73.01,73.05,73.24
Sintang,69.74,69.87,70.1,73.59,73.73,74.02
Kapuas Hulu,70.57,70.63,70.79,74.34,74.34,74.5
Sekadau,69.86,70.01,70.26,73.71,73.92,74.27
Melawi,71.01,71.04,71.18,74.77,74.81,75
Kayong Utara,66.12,66.12,66.23,70.23,70.5,70.92
Kubu Raya,68.53,68.6,68.78,72.5,72.64,72.94
Kota Pontianak,71.02,71.15,71.41,74.81,74.91,75.24
