Provinsi/Kabupaten/Kota,Laki-laki (2020),Laki-laki (2021),Laki-laki (2022),Perempuan (2020),Perempuan (2021),Perempuan (2022)
Luwu Utara,66.46,66.6,66.89,70.45,70.62,71
Luwu Timur,68.51,68.6,68.86,72.46,72.57,72.9
Toraja Utara,71.45,71.46,71.64,75.22,75.23,75.47
Kota Makasar,70.12,70.17,70.4,73.96,73.99,74.27
Kota Parepare,69.28,69.33,69.55,73.15,73.18,73.44
Kota Palopo,68.88,68.93,69.15,72.77,72.8,73.06
SULAWESI TENGGARA,69.31,69.35,69.44,73.37,73.37,73.47
Buton,66.1,66.23,66.27,70.18,70.53,70.67
Muna,68.18,68.22,68.27,72.3,72.52,72.6
Konawe,68.16,68.19,68.23,72.18,72.4,72.48
Kolaka,68.94,69.09,69.22,72.97,73.32,73.54
Konawe Selatan,68.66,68.74,68.83,72.71,72.97,73.1
Bombana,66.75,66.93,67.02,70.83,71.2,71.42
Wakatobi,68.27,68.34,68.43,72.32,72.6,72.75
Kolaka Utara,68.22,68.29,68.37,72.27,72.46,72.51
Buton Utara,68.77,68.81,68.86,72.86,73.04,73.07
Konawe Utara,67.3,67.3,67.32,71.44,71.66,71.74
Kolaka Timur,70.59,70.75,70.82,74.54,74.89,75.09
Konawe Kepulauan,66.25,66.3,66.31,70.37,70.56,70.61
Muna Barat,68.16,68.2,68.25,72.26,72.42,72.48
Buton Tengah,65.5,65.53,65.62,69.57,69.7,69.82
Buton Selatan,65.5,65.54,65.59,69.57,69.73,69.79
Kota Kendari,71.73,71.81,71.91,75.6,75.86,76
Kota Baubau,69.06,69.12,69.2,73.1,73.37,73.53
GORONTALO,66.14,66.27,66.56,70.09,70.21,70.53
Boalemo,67.06,67.34,67.66,70.99,71.21,71.57
Gorontalo,65.45,65.46,65.63,69.52,69.65,69.88
Pohuwato,62.12,62.38,62.69,65.92,66.14,66.51
Bone Bolango,66.36,66.38,66.56,70.4,70.46,70.83
Gorontalo Utara,63.91,64.02,64.3,67.74,67.79,68.17
Kota Gorontalo,70.55,70.66,70.94,74.35,74.38,74.74
SULAWESI BARAT,63.2,63.39,63.74,67.02,67.19,67.6
Majene,59.66,59.87,60.22,63.35,63.53,63.94
Polewali Mandar,60.45,60.6,60.89,64.2,64.34,64.72
Mamasa,68.85,68.92,69.25,72.78,72.83,73.12
Mamuju,65.49,65.73,66.13,69.44,69.68,70.17
Mamuju Utara / Pasangkayu,64.22,64.49,64.92,68.06,68.27,68.73
Mamuju Tengah,66.28,66.5,66.88,70.27,70.48,70.94
MALUKU,64.12,64.23,64.53,67.93,68.05,68.43
Maluku Tenggara Barat / Kepulauan Tanimbar,61.48,61.51,61.73,65.24,65.28,65.59
Maluku Tenggara,63.11,63.17,63.43,66.92,66.99,67.33
Maluku Tengah,64.42,64.44,64.65,68.28,68.32,68.62
Buru,64.41,64.43,64.65,68.27,68.3,68.6
Kepulauan Aru,60.93,61.01,61.27,64.67,64.77,65.12
Seram Bagian Barat,59.78,59.94,60.18,63.47,63.64,64.06
Seram Bagian Timur,57.57,57.78,58.06,61.13,61.34,61.8
Maluku Barat Daya,60.47,60.65,60.98,64.18,64.37,64.84
Buru Selatan,64.28,64.37,64.65,68.15,68.26,68.63
Kota Ambon,68.51,68.64,68.97,72.4,72.52,72.91
Kota Tual,63.51,63.72,64.14,67.32,67.54,68.05
MALUKU UTARA,66.43,66.55,66.84,70.32,70.44,70.79
Halmahera Barat,64.28,64.37,64.63,68.14,68.22,68.54
Halmahera Tengah,61.99,62.24,62.5,65.75,66,66.48
Kepulauan Sula,61.37,61.45,61.68,65.14,65.23,65.55
Halmahera Selatan,63.9,63.97,64.22,67.73,67.79,68.09
Halmahera Utara,67.55,67.6,67.82,71.48,71.54,71.84
Halmahera Timur,66.89,67.11,67.51,70.8,71,71.44
Pulau Morotai,65.18,65.33,65.65,69.09,69.25,69.66
Pulau Taliabu,60.2,60.31,60.56,63.92,64.04,64.37
Kota Ternate,68.99,69.08,69.35,72.87,72.95,73.28
Kota Tidore Kepulauan,67.36,67.46,67.74,71.25,71.33,71.65
PAPUA BARAT,64.2,64.33,64.54,67.9,68.05,68.44
